PUBLIC_ROUTE_NAME,NEXTBUS_VEHICLE_ASSIGNMENT,TRIP_ID,BLOCK_NAME,IS_TWO_CAR,CAR_NUMBER,STOP_ID,LONGITUDE,LATITUDE,NEXTBUS_ARRIVAL_TIME
01, 5602,5212999,119,N,0,4027,-122.409774,37.79379,10/1/2012 10:34:54.000000 AM
01, 5602,5212999,119,N,0,6296,-122.433669,37.789839,10/1/2012 10:20:43.000000 AM
01, 5503,5213002,110,N,0,4027,-122.409774,37.79379,10/1/2012 10:45:46.000000 AM
01, 5503,5213002,110,N,0,4028,-122.401118,37.79482,10/1/2012 10:51:28.000000 AM
01, 5503,5213002,110,N,0,4277,-122.493227,37.779744,10/1/2012 10:10:38.000000 AM
01, 5503,5213002,110,N,0,4015,-122.396996,37.795415,10/1/2012 10:54:19.000000 AM
01, 5503,5213002,110,N,0,3825,-122.464709,37.784902,10/1/2012 10:19:46.000000 AM
01, 5503,5213002,110,N,0,4026,-122.420714,37.792385,10/1/2012 10:40:57.000000 AM
01, 5503,5213002,110,N,0,3893,-122.446885,37.787149,10/1/2012 10:27:45.000000 AM
01, 5503,5213002,110,N,0,6296,-122.433669,37.789839,10/1/2012 10:32:37.000000 AM
01, 5554,5213013,105,N,0,4026,-122.420714,37.792385,10/1/2012 11:34:15.000000 AM
01, 5554,5213013,105,N,0,3825,-122.464709,37.784902,10/1/2012 11:17:09.000000 AM
01, 5554,5213013,105,N,0,4028,-122.401118,37.79482,10/1/2012 11:44:05.000000 AM
01, 5554,5213013,105,N,0,4015,-122.396996,37.795415,10/1/2012 11:47:00.000000 AM
03, 5636,5214578,301,N,0,6603,-122.420198,37.787797,10/1/2012 2:17:21.000000 PM
03, 5636,5214578,301,N,0,6089,-122.44688,37.78737,10/1/2012 2:34:14.000000 PM
03, 5636,5214578,301,N,0,6591,-122.433151,37.786158,10/1/2012 2:23:44.000000 PM
03, 5636,5214578,301,N,0,6604,-122.408677,37.789266,10/1/2012 2:10:31.000000 PM
03, 5636,5214578,301,N,0,6606,-122.400674,37.790298,10/1/2012 2:05:43.000000 PM
01, 5494,5213053,112,N,0,4028,-122.401118,37.79482,10/3/2012 5:33:55.000000 PM
01, 5494,5213053,112,N,0,4015,-122.396996,37.795415,10/3/2012 5:36:11.000000 PM
01, 5494,5213053,112,N,0,6296,-122.433669,37.789839,10/3/2012 5:16:00.000000 PM
01, 5494,5213053,112,N,0,4027,-122.409774,37.79379,10/3/2012 5:27:29.000000 PM
01, 5494,5213053,112,N,0,4026,-122.420714,37.792385,10/3/2012 5:22:53.000000 PM
01, 5494,5213053,112,N,0,3893,-122.446885,37.787149,10/3/2012 5:10:06.000000 PM
02, 8305,5214646,202,N,0,6604,-122.408677,37.789266,10/1/2012 2:17:42.000000 PM
02, 8305,5214646,202,N,0,7543,-122.473077,37.782498,10/1/2012 2:55:14.000000 PM
02, 8305,5214646,202,N,0,3892,-122.446908,37.787328,10/1/2012 2:40:53.000000 PM
02, 8305,5214646,202,N,0,7227,-122.394917,37.794454,10/1/2012 2:10:44.000000 PM
01, 5588,5213084,107,N,0,3893,-122.446885,37.787149,10/3/2012 6:06:47.000000 PM
02, 8305,5214646,202,N,0,6603,-122.420198,37.787797,10/1/2012 2:24:05.000000 PM
03, 5638,5214611,351,N,0,6089,-122.44688,37.78737,10/2/2012 10:47:22.000000 PM
03, 5638,5214611,351,N,0,6606,-122.400674,37.790298,10/2/2012 10:17:17.000000 PM
03, 5638,5214611,351,N,0,6603,-122.420198,37.787797,10/2/2012 10:28:54.000000 PM
03, 5638,5214611,351,N,0,6604,-122.408677,37.789266,10/2/2012 10:21:36.000000 PM
03, 5638,5214611,351,N,0,6591,-122.433151,37.786158,10/2/2012 10:36:45.000000 PM
02, 8301,5214710,203,N,0,6022,-122.40793,37.7883,10/1/2012 7:26:47.000000 AM
